Sr. No.,District Name,Market Committee Name,Purchase Center Name,Storage Capacity in quintals,Type Name,Storage Capacity in tons,active_days,mean_cpns_pd,std
3189,Moga,Ajitwal,M/s panj piri rice and general mills,7500.0,Sheller/ Others,750.0,24.0,4.5,0.5107539184552492
3190,Moga,Baghapurana,M/s punjab agro foods,12000.0,Sheller/ Others,1200.0,17.0,4.882352941176471,0.7812132344290249
3191,Moga,Dharamkot,"M/s prabh kirpa rice mills, dharmkot",15000.0,Sheller/ Others,1500.0,22.0,7.136363636363637,2.3763808926992627
3192,Moga,Kot ise Kha,"M/s preet rice mills, kot ise kha",11250.0,Sheller/ Others,1125.0,20.0,4.95,1.932410548076104
3193,Moga,Nihal Singh Wala,"M/s bajrang agro foods, nihal singh wala",51000.0,Sheller/ Others,5100.0,10.0,16.0,7.745966692414834
3194,Moga,Baghapurana,M/s bajrang bali agro foods,26250.0,Sheller/ Others,2625.0,,,
3195,Moga,Moga,"M/s b.r. enterprises, moga",11250.0,Sheller/ Others,1125.0,,,
3196,Moga,Nihal Singh Wala,M/s maha lakshmi agro industries,6000.0,Sheller/ Others,600.0,8.0,5.0,0.0
3197,Moga,Moga,M/s maha lakshmi agro mills,7500.0,Sheller/ Others,750.0,,,
3198,Moga,Nihal Singh Wala,M/s mahadev rice mills,30000.0,Sheller/ Others,3000.0,9.0,7.222222222222222,3.632415786283895
3199,Moga,Baghapurana,M/s mahesh agro foods,30000.0,Sheller/ Others,3000.0,10.0,7.7,4.473378042498879
3200,Moga,Baghapurana,M/s madan lal agro foods,30000.0,Sheller/ Others,3000.0,16.0,6.625,4.014556845614054
3201,Moga,Dharamkot,"M/s malwa rice mills, dharmkot",7500.0,Sheller/ Others,750.0,19.0,4.2105263157894735,0.9176629354822469
3202,Moga,Baghapurana,M/s midas agro foods private limited,24750.0,Sheller/ Others,2475.0,15.0,8.933333333333334,5.351457300408483
3203,Moga,Baghapurana,M/s midas agro foods private limited unit-2,15000.0,Sheller/ Others,1500.0,16.0,6.5,2.851899951494325
3204,Moga,Baghapurana,M/s midas foods private limited,24750.0,Sheller/ Others,2475.0,2.0,15.0,0.0
3205,Moga,Baghapurana,M/s midas foods private limited unit-2,15000.0,Sheller/ Others,1500.0,12.0,5.333333333333333,2.2696949467968492
3206,Moga,Dharamkot,M/s united rice mill,15000.0,Sheller/ Others,1500.0,20.0,7.4,3.1355348742070177
3207,Moga,Badhni Kalan,M/s raghunath rice mill,3750.0,Sheller/ Others,375.0,6.0,5.0,0.0
3208,Moga,Nihal Singh Wala,M/s rajesh tradingh company,33750.0,Sheller/ Others,3375.0,10.0,11.0,3.1622776601683795
3209,Moga,Moga,M/s radhe raman agro industries,11250.0,Sheller/ Others,1125.0,,,
3210,Moga,Baghapurana,M/s lakshmi agro tech. lande,7500.0,Sheller/ Others,750.0,12.0,4.583333333333333,0.5149286505444371
3211,Moga,Nihal Singh Wala,M/s lakshmi agro ind.,33750.0,Sheller/ Others,3375.0,6.0,10.833333333333334,4.915960401250875
3212,Moga,Moga,"M/s shadi ram harbans lal company, moga",11250.0,Sheller/ Others,1125.0,,,
3213,Moga,Baghapurana,M/s shiv rice mill,15750.0,Sheller/ Others,1575.0,14.0,6.642857142857143,3.12821263435117
3214,Moga,Ajitwal,M/s ajit rice and general mills,7500.0,Sheller/ Others,750.0,21.0,4.428571428571429,0.5070925528371099
3215,Moga,Badhni Kalan,"M/s guru nanak rice mill, badni kalan",15000.0,Sheller/ Others,1500.0,5.0,9.0,2.23606797749979
3216,Moga,Nihal Singh Wala,Lakshmi agro foods,5000.0,Sheller/ Others,500.0,,,
3217,Moga,Nihal Singh Wala,Lovely agro industries,45000.0,Sheller/ Others,4500.0,9.0,14.88888888888889,6.333333333333332
3218,Moga,Nihal Singh Wala,Lovely agro foods,5000.0,Sheller/ Others,500.0,,,
3219,Moga,Ajitwal,Vasudev rice mill,37500.0,Sheller/ Others,3750.0,,,
3220,Moga,Baghapurana,"M/s garg agro food, bhagapurana, (gholiya kalan)",11250.0,Sheller/ Others,1125.0,19.0,4.315789473684211,1.2042808632793345
3221,Moga,Baghapurana,"M/s garg rice mill, bhagapurana,(gholiya kalan)",15000.0,Sheller/ Others,1500.0,19.0,5.842105263157895,2.8531300140710343
3222,Moga,Baghapurana,"M/s rajiana rice mill, bhagapurana (gholiya kalan)",15000.0,Sheller/ Others,1500.0,19.0,5.947368421052632,3.4070789739163554
3223,Moga,Dharamkot,"M/s shari ganesh rice mill, dharmkot",11250.0,Sheller/ Others,1125.0,22.0,5.545454545454546,1.3354960814430656
3224,Sri Muktsar Sahib,Sri Muktsar Sahib,"Aakal rice mills, abohar rode, mukatsar",27000.0,Sheller/ Others,2700.0,4.0,11.75,4.716990566028302
3225,Sri Muktsar Sahib,Sri Muktsar Sahib,"Arman oversies, balmgarh rode, shri mukatsar sahib",9000.0,Sheller/ Others,900.0,22.0,4.2272727272727275,0.6853444168423419
3226,Sri Muktsar Sahib,Sri Muktsar Sahib,"Aryan rice mill, kabarwala rode, shri mukatsar sahib",24000.0,Sheller/ Others,2400.0,21.0,5.380952380952381,2.3553384146697574
3227,Sri Muktsar Sahib,Sri Muktsar Sahib,"M/s ahuja agro foods pvt. ltd. kabarwala rode, shri mukatsar sahib",12000.0,Sheller/ Others,1200.0,22.0,4.545454545454546,1.4384936806479443
3228,Sri Muktsar Sahib,Sri Muktsar Sahib,"M. b. agro, jalalabad rode mukatsar",18750.0,Sheller/ Others,1875.0,,,
3229,Sri Muktsar Sahib,Sri Muktsar Sahib,"A k rice mills, village bhular, shri mukatsar sahib",6000.0,Sheller/ Others,600.0,26.0,3.5,1.5297058540778354
3230,Sri Muktsar Sahib,Sri Muktsar Sahib,"Star rice and genral mills, guruharsahaye rode, village kotly devan, shri mukatsar sahib",28500.0,Sheller/ Others,2850.0,26.0,5.230769230769231,2.9706254197753346
3231,Sri Muktsar Sahib,Sri Muktsar Sahib,"Satluj rice and genral mills, guruharsahaye rode, village kotly devan, shri mukatsar sahib",18000.0,Sheller/ Others,1800.0,27.0,6.185185185185185,2.4657193838253533
3232,Sri Muktsar Sahib,Sri Muktsar Sahib,Saluja cotton industries,15000.0,Sheller/ Others,1500.0,,,
3233,Sri Muktsar Sahib,Sri Muktsar Sahib,"C.n. industries, balamgarh rode, shri mukatsar sahib",21000.0,Sheller/ Others,2100.0,27.0,5.592592592592593,2.4847110845708347
3234,Sri Muktsar Sahib,Sri Muktsar Sahib,"Ganpati mattles, shri mukatsar sahib",21000.0,Sheller/ Others,2100.0,3.0,8.333333333333334,2.8867513459481287
3235,Sri Muktsar Sahib,Sri Muktsar Sahib,"Gurte rice mill, kabarwala rode, shri mukatsar sahib",9000.0,Sheller/ Others,900.0,22.0,4.2272727272727275,0.6853444168423419
3236,Sri Muktsar Sahib,Sri Muktsar Sahib,Green c palace shri mukatsar sahib,7500.0,Sheller/ Others,750.0,,,
3237,Sri Muktsar Sahib,Sri Muktsar Sahib,J s cotton factory,7500.0,Sheller/ Others,750.0,,,
3238,Sri Muktsar Sahib,Sri Muktsar Sahib,"Chamb rice mills, village chak dahewala, shri mukatsar sahib",21000.0,Sheller/ Others,2100.0,26.0,4.961538461538462,1.5869661428214332
3239,Sri Muktsar Sahib,Sri Muktsar Sahib,"Teg bahadur rice mills, kabarwala rode, shri mukatsar sahib",22500.0,Sheller/ Others,2250.0,21.0,5.0,2.2135943621178655
3240,Sri Muktsar Sahib,Sri Muktsar Sahib,"Davindra cotton pvt. ltd., balamgarh,  shri mukatsar sahib",24000.0,Sheller/ Others,2400.0,28.0,6.142857142857143,2.7983366185446363
3241,Sri Muktsar Sahib,Sri Muktsar Sahib,"Deep  rice mills, guruharsahaye rode, village kotly devan,  shri mukatsar sahib",18750.0,Sheller/ Others,1875.0,22.0,5.0,2.160246899469287
3242,Sri Muktsar Sahib,Sri Muktsar Sahib,"Navalti  rice mill, jalabad road shri mukatsar sahib",20250.0,Sheller/ Others,2025.0,,,
3243,Sri Muktsar Sahib,Sri Muktsar Sahib,"Preet rice mills, guruharsahai road, pind kotli devan  shri mukatsar sahib",26250.0,Sheller/ Others,2625.0,20.0,5.3,3.404331606088121
3244,Sri Muktsar Sahib,Sri Muktsar Sahib,"Bajrang agro foods, jalalabad road, shri mukatsar sahib",7500.0,Sheller/ Others,750.0,28.0,4.464285714285714,0.50787450018337
3245,Sri Muktsar Sahib,Sri Muktsar Sahib,Baba farid rice mill mallan,7500.0,Sheller/ Others,750.0,,,
3246,Sri Muktsar Sahib,Sri Muktsar Sahib,B s cotton factory,7500.0,Sheller/ Others,750.0,,,
3247,Sri Muktsar Sahib,Sri Muktsar Sahib,Muktsar cotton pvt ltd,7500.0,Sheller/ Others,750.0,,,
3248,Sri Muktsar Sahib,Sri Muktsar Sahib,"Unique rice mills, pind goniana,  shri mukatsar sahib",49000.0,Sheller/ Others,4900.0,22.0,6.545454545454546,6.123547623545971
3249,Sri Muktsar Sahib,Sri Muktsar Sahib,"Rajindra rice and general mill, jalalabad road,  shri mukatsar sahib",15000.0,Sheller/ Others,1500.0,8.0,10.0,0.0
3250,Sri Muktsar Sahib,Sri Muktsar Sahib,"Ratan rice mills, kabarwala road,  shri mukatsar sahib",13500.0,Sheller/ Others,1350.0,22.0,4.954545454545454,1.863873915807068
3251,Sri Muktsar Sahib,Sri Muktsar Sahib,"Ranbir rice mills, kabarwala road,  shri mukatsar sahib",26250.0,Sheller/ Others,2625.0,27.0,5.777777777777778,3.5662233129669145
3252,Sri Muktsar Sahib,Sri Muktsar Sahib,"Rajdev agro,",7500.0,Sheller/ Others,750.0,,,
3253,Sri Muktsar Sahib,Sri Muktsar Sahib,"Rajdev agro, jalalabad road,  shri mukatsar sahib",10500.0,Sheller/ Others,1050.0,16.0,4.125,0.7187952884282609
3254,Sri Muktsar Sahib,Sri Muktsar Sahib,Ram sarup garg cotton mills abohar road  shri mukatsar sahib,7500.0,Sheller/ Others,750.0,,,
3255,Sri Muktsar Sahib,Sri Muktsar Sahib,"Lakshmi rice mills, balmgarh road  shri mukatsar sahib",27000.0,Sheller/ Others,2700.0,26.0,6.8076923076923075,3.9397383747577024
3256,Sri Muktsar Sahib,Sri Muktsar Sahib,"Vikas rice traders,moad road,  shri mukatsar sahib",29250.0,Sheller/ Others,2925.0,21.0,5.238095238095238,3.330236656827288
3257,Sri Muktsar Sahib,Sri Muktsar Sahib,"Sham ji rice and general mills, kabarwala road,  shri mukatsar sahib",9000.0,Sheller/ Others,900.0,,,
3258,Sri Muktsar Sahib,Sri Muktsar Sahib,"Shri krishna agro industries, pind thandewala,  shri mukatsar sahib",36000.0,Sheller/ Others,3600.0,18.0,6.777777777777778,6.131457513661011
3259,Sri Muktsar Sahib,Sri Muktsar Sahib,"Shri krishna enterprises kabarwala road,  shri mukatsar sahib",9000.0,Sheller/ Others,900.0,25.0,4.36,0.6999999999999998
3260,Sri Muktsar Sahib,Malout,"Agarwal agro industries, pind koleyawali, malout",22500.0,Sheller/ Others,2250.0,8.0,9.375,1.7677669529663689
3261,Sri Muktsar Sahib,Malout,"Anpurna agro industries, pind malout road, burj sidhwa",9000.0,Sheller/ Others,900.0,15.0,5.4,1.8439088914585784
3262,Sri Muktsar Sahib,Malout,"Ambe rice mills, pind koleyawali, malout",11250.0,Sheller/ Others,1125.0,8.0,5.0,0.0
3263,Sri Muktsar Sahib,Malout,"R j rice mills jandwala danewala road, malout",7500.0,Sheller/ Others,750.0,,,
3264,Sri Muktsar Sahib,Malout,"R j rice mills, malout",7500.0,Sheller/ Others,750.0,,,
3265,Sri Muktsar Sahib,Malout,"S p rice and general mills, mayi bhago road, pind inna khera",7500.0,Sheller/ Others,750.0,22.0,4.545454545454546,0.5096471914376256
3266,Sri Muktsar Sahib,Malout,"M b rice and general mills, burja road, pind malout",10500.0,Sheller/ Others,1050.0,19.0,4.7368421052631575,0.4524139283588639
3267,Sri Muktsar Sahib,Malout,"Satgur rice mills, malwala road, jandwalal, malout",13500.0,Sheller/ Others,1350.0,17.0,7.235294117647059,2.7278519883945744
3268,Sri Muktsar Sahib,Malout,Sam khera,0.0,Sheller/ Others,0.0,,,
3269,Sri Muktsar Sahib,Malout,Singla rice and general mills,0.0,Sheller/ Others,0.0,,,
3270,Sri Muktsar Sahib,Malout,Shiv parvati rice and general mills malout,15000.0,Sheller/ Others,1500.0,,,
3271,Sri Muktsar Sahib,Malout,Shiv parvati rice mills malout,15000.0,Sheller/ Others,1500.0,,,
3272,Sri Muktsar Sahib,Malout,Shri ram cotton factory muktsar road malout,10000.0,Sheller/ Others,1000.0,4.0,5.0,0.0
3273,Sri Muktsar Sahib,Malout,Shri ram cotton factory muktsar road malout,15000.0,Sheller/ Others,1500.0,4.0,5.0,0.0
3274,Sri Muktsar Sahib,Malout,"Hem raj garg rice and general mills, pind kabarwala",26250.0,Sheller/ Others,2625.0,21.0,7.142857142857143,3.60951124510943
3275,Sri Muktsar Sahib,Malout,"K k rice mill, ghumiara road malout",10500.0,Sheller/ Others,1050.0,3.0,5.0,0.0
3276,Sri Muktsar Sahib,Malout,"Kohenoor agro foods, malwa road, pind their",10000.0,Sheller/ Others,1000.0,1.0,5.0,
3277,Sri Muktsar Sahib,Malout,"Kharid kendar, hakuwala",10000.0,Sheller/ Others,1000.0,,,
3278,Sri Muktsar Sahib,Malout,"Kharid kendar,kabarwala",10000.0,Sheller/ Others,1000.0,,,
3279,Sri Muktsar Sahib,Malout,"Ganpati rice mills, mahuana road, tapa khera, malout",11250.0,Sheller/ Others,1125.0,7.0,5.0,0.0
3280,Sri Muktsar Sahib,Malout,"Gurraj rice mills, pind badal",30000.0,Sheller/ Others,3000.0,20.0,12.8,2.745330964613039
3281,Sri Muktsar Sahib,Malout,"Guru kirpa rice mill, pind fatuhiwala kiliyawali",6000.0,Sheller/ Others,600.0,28.0,3.1785714285714284,1.4920423841803139
3282,Sri Muktsar Sahib,Malout,Guru rice mill,15000.0,Sheller/ Others,1500.0,,,
3283,Sri Muktsar Sahib,Malout,"Golden palace, mandi kilianwali",10000.0,Sheller/ Others,1000.0,1.0,5.0,
3284,Sri Muktsar Sahib,Malout,"Jimidara commission agent, lambi",10000.0,Sheller/ Others,1000.0,14.0,4.428571428571429,0.5135525910130955
3285,Sri Muktsar Sahib,Malout,"Dhillon rice mills, ghagha road, jandwala, malout",15000.0,Sheller/ Others,1500.0,15.0,9.0,4.326001122779063
3286,Sri Muktsar Sahib,Malout,"Punjab rice and general mills, abohar road, malout",8250.0,Sheller/ Others,825.0,23.0,4.869565217391305,1.2174618838941857
3287,Sri Muktsar Sahib,Malout,Pind inna khera,65340.0,Sheller/ Others,6534.0,17.0,16.0,9.968701018688442
3288,Sri Muktsar Sahib,Malout,"Bakhsi ram kasturi lal and company, pind koleyawali, malout",9000.0,Sheller/ Others,900.0,8.0,5.0,0.0
3289,Sri Muktsar Sahib,Malout,"Brar agro industires, dhani partap singh, pind malout",22500.0,Sheller/ Others,2250.0,20.0,8.2,2.783409495753838
3290,Sri Muktsar Sahib,Malout,"B s rice and general mills, pind koleyawali malout",9750.0,Sheller/ Others,975.0,8.0,5.0,0.0
3291,Sri Muktsar Sahib,Malout,"Bhagwati rice mills, sekhu road, malout",15000.0,Sheller/ Others,1500.0,12.0,8.833333333333334,2.124888588879783
3292,Sri Muktsar Sahib,Malout,"Manjit rice mills, malwala road, jandwala malout",11250.0,Sheller/ Others,1125.0,8.0,4.875,0.3535533905932738
3293,Sri Muktsar Sahib,Malout,"Maa satya rice mills, malout",6000.0,Sheller/ Others,600.0,,,
3294,Sri Muktsar Sahib,Malout,"Malwa rice and general mills, burja road, pind malout",9750.0,Sheller/ Others,975.0,24.0,4.625,0.5757792451369143
3295,Sri Muktsar Sahib,Malout,"Royal punjab rice mills, pind deyun khera",11250.0,Sheller/ Others,1125.0,8.0,5.0,0.0
3296,Sri Muktsar Sahib,Malout,"Satabadi rice and general mills, malwala road, jandwala malout",15000.0,Sheller/ Others,1500.0,15.0,8.266666666666667,3.195234546871921
3297,Sri Muktsar Sahib,Malout,"Shri shyam rice mill, dhani partap singh, pind malout",0.0,Sheller/ Others,0.0,,,
3298,Sri Muktsar Sahib,Malout,"Shiv shakti rice and general mills, mahuana road tapa khera malout",0.0,Sheller/ Others,0.0,,,
3299,Sri Muktsar Sahib,Malout,"Shiva rice and general mills, malwala road malout",0.0,Sheller/ Others,0.0,,,
3300,Sri Muktsar Sahib,Bariwala,"Agarwal cotton factory, bariwala",12000.0,Sheller/ Others,1200.0,20.0,4.55,0.7591546545162484
3301,Sri Muktsar Sahib,Bariwala,Amrit pal and company,15000.0,Sheller/ Others,1500.0,,,
3302,Sri Muktsar Sahib,Bariwala,"Avtar cotton and general mill, bariwala road varing",12000.0,Sheller/ Others,1200.0,15.0,4.533333333333333,0.833809387832792
3303,Sri Muktsar Sahib,Bariwala,"R k vishal rice and general mills, bariwala",7500.0,Sheller/ Others,750.0,15.0,4.666666666666667,0.48795003647426644
3304,Sri Muktsar Sahib,Bariwala,"S l rice mills, vara kishanpura road surewala",24750.0,Sheller/ Others,2475.0,20.0,8.15,3.9904491239115325
3305,Sri Muktsar Sahib,Bariwala,"S j rice and general mills, sarayenaga road, hairke kalan",7500.0,Sheller/ Others,750.0,20.0,4.55,0.7591546545162484
3306,Sri Muktsar Sahib,Bariwala,"Shakti rice mills, motle wala road, bariwala",21750.0,Sheller/ Others,2175.0,15.0,7.6,2.6939084723024385
3307,Sri Muktsar Sahib,Bariwala,"Shankar rice mills,sarayenaga road, harike kalan",22500.0,Sheller/ Others,2250.0,14.0,7.5,2.62385506166316
3308,Sri Muktsar Sahib,Bariwala,"Star rice mills, bariwala road, varing",9000.0,Sheller/ Others,900.0,19.0,4.684210526315789,0.47756693294091923
3309,Sri Muktsar Sahib,Bariwala,"Satguru rice mill, sarayenaga road, marar kalan",9000.0,Sheller/ Others,900.0,20.0,4.75,0.5501196042201808
3310,Sri Muktsar Sahib,Bariwala,Sarayenaga to marirkalan road near satguru rice mills firm m/s jaswant rai ashok,7500.0,Sheller/ Others,750.0,13.0,4.3076923076923075,0.8548504142651103
3311,Sri Muktsar Sahib,Bariwala,"Sarayenaga road near shankar rice mills, harike kalan firm gurbachan singh bal mukand",7500.0,Sheller/ Others,750.0,13.0,4.3076923076923075,0.8548504142651103
3312,Sri Muktsar Sahib,Bariwala,"Sarayenaga road, harike kalan m/s tulsi ram birbal das",7500.0,Sheller/ Others,750.0,13.0,4.153846153846154,1.0681880176381124
3313,Sri Muktsar Sahib,Bariwala,"Sarayenaga road, harike kalan, near bharti petrol pump m/s gulshan kumar and comp.",15000.0,Sheller/ Others,1500.0,13.0,4.3076923076923075,0.8548504142651103
3314,Sri Muktsar Sahib,Bariwala,"Hargun rice mills, harike kalan",12000.0,Sheller/ Others,1200.0,20.0,4.65,0.4893604849295928
3315,Sri Muktsar Sahib,Bariwala,"Hari om rice and general mills, bariwala road, varing",15000.0,Sheller/ Others,1500.0,17.0,7.764705882352941,2.194578882288863
3316,Sri Muktsar Sahib,Bariwala,Harike kalan road aasa butter rameshwar das aatma ram,7500.0,Sheller/ Others,750.0,7.0,4.857142857142857,0.37796447300922725
3317,Sri Muktsar Sahib,Bariwala,"Garg agro industires, motle wala road, bariwala",7500.0,Sheller/ Others,750.0,20.0,4.65,0.4893604849295928
3318,Sri Muktsar Sahib,Bariwala,Guru gobind singh public school magarkalan da ground kaur chand munish kumar,5000.0,Sheller/ Others,500.0,12.0,3.5,1.5666989036012806
3319,Sri Muktsar Sahib,Bariwala,"Jai durga rice mills, sarayenaga road, khokhar",7500.0,Sheller/ Others,750.0,20.0,4.9,1.2937094768634556
3320,Sri Muktsar Sahib,Bariwala,Dana mandi road harike kalan m/s gurdiyal singh buta singh,7500.0,Sheller/ Others,750.0,14.0,4.428571428571429,0.5135525910130955
3321,Sri Muktsar Sahib,Bariwala,"Pirthipal singh rice and general mills, baja marar road, bariwala",6000.0,Sheller/ Others,600.0,21.0,3.857142857142857,1.492840054584358
3322,Sri Muktsar Sahib,Bariwala,"Bariwala agro indus., sarayenaga road, marar kalan",21000.0,Sheller/ Others,2100.0,21.0,5.666666666666667,2.1984843263788196
3323,Sri Muktsar Sahib,Bariwala,"Bansal rice mill, bariwala road, varing",11250.0,Sheller/ Others,1125.0,20.0,4.65,0.4893604849295928
3324,Sri Muktsar Sahib,Bariwala,"Baba meera sahib rice mills, bariwala road, varing",15000.0,Sheller/ Others,1500.0,15.0,6.533333333333333,2.2318047362958033
3325,Sri Muktsar Sahib,Bariwala,"Balaji rice mill, khokhar road, aasa butter",24750.0,Sheller/ Others,2475.0,20.0,8.55,4.006245124802026
3326,Sri Muktsar Sahib,Bariwala,"Birbal rice and general mills, sarayenaga road, mrar kalan",22500.0,Sheller/ Others,2250.0,19.0,5.894736842105263,2.2334511621182247
3327,Sri Muktsar Sahib,Bariwala,"Bhai lehna ji rice mills, sarayenaga road, harike kalan",13500.0,Sheller/ Others,1350.0,20.0,6.8,2.566997016790344
3328,Sri Muktsar Sahib,Bariwala,Mrar farm mrarkalan road  to baja pind mrarkalan,7500.0,Sheller/ Others,750.0,14.0,4.571428571428571,0.5135525910130954
3329,Sri Muktsar Sahib,Bariwala,"Mrar rice and general mills, sarayenaga road, mrar kalan",52500.0,Sheller/ Others,5250.0,19.0,13.210526315789474,6.511348617507241
3330,Sri Muktsar Sahib,Bariwala,"Lakshmi rice and general mills, sarayenaga road, mrar kalan",10500.0,Sheller/ Others,1050.0,20.0,4.65,0.4893604849295928
3331,Sri Muktsar Sahib,Bariwala,"Vir bajrangi rice mills, motle wala road, bariwala",10500.0,Sheller/ Others,1050.0,20.0,4.55,0.7591546545162484
3332,Sri Muktsar Sahib,Gidarbaha,"Ambe agro industries, butter bakhua",26250.0,Sheller/ Others,2625.0,12.0,9.583333333333334,4.5016831868926
3333,Sri Muktsar Sahib,Gidarbaha,"Amrit rice mill, husnar",22500.0,Sheller/ Others,2250.0,19.0,6.157894736842105,2.5224141411384458
3334,Sri Muktsar Sahib,Gidarbaha,"S m traders, husnar",22500.0,Sheller/ Others,2250.0,6.0,6.666666666666667,2.581988897471611
3335,Sri Muktsar Sahib,Gidarbaha,"H. l. and sons, butar bakhua",22500.0,Sheller/ Others,2250.0,16.0,6.1875,2.7861263431510066
3336,Sri Muktsar Sahib,Gidarbaha,"Sada shiv rice mills, kotbhai",22500.0,Sheller/ Others,2250.0,18.0,6.055555555555555,2.6451336499586917
3337,Sri Muktsar Sahib,Gidarbaha,"Sarswati rice mills, butar bakhua",22500.0,Sheller/ Others,2250.0,16.0,6.875,2.5527762664727724
3338,Sri Muktsar Sahib,Gidarbaha,"Singla rice mills, husnar",22500.0,Sheller/ Others,2250.0,4.0,5.0,0.0
3339,Sri Muktsar Sahib,Gidarbaha,"City rice mills, piori",22500.0,Sheller/ Others,2250.0,3.0,5.0,0.0
3340,Sri Muktsar Sahib,Gidarbaha,"Seth ramji das rice mills, butar bakhua",26250.0,Sheller/ Others,2625.0,16.0,8.0,3.759432581299116
3341,Sri Muktsar Sahib,Gidarbaha,"Krishna rice and general mills, husnar",22500.0,Sheller/ Others,2250.0,19.0,6.052631578947368,2.482688601105358
3342,Sri Muktsar Sahib,Gidarbaha,"Krishna rice mill, husnar",22500.0,Sheller/ Others,2250.0,16.0,6.3125,2.6259918760981216
3343,Sri Muktsar Sahib,Gidarbaha,"Goel rice mills, bharu",22500.0,Sheller/ Others,2250.0,18.0,6.333333333333333,2.4253562503633295
3344,Sri Muktsar Sahib,Gidarbaha,"Gopal rice industries, kotbhai",15000.0,Sheller/ Others,1500.0,19.0,7.052631578947368,2.6556791182195503
3345,Sri Muktsar Sahib,Gidarbaha,"Chardikalan rice industies, gidarbaha",15000.0,Sheller/ Others,1500.0,20.0,8.0,2.3169853371636986
3346,Sri Muktsar Sahib,Gidarbaha,"Jagdambe rice  mill,kot bhai",22500.0,Sheller/ Others,2250.0,16.0,6.1875,2.688710967483613
3347,Sri Muktsar Sahib,Gidarbaha,"Jai hind rice mills, butar bakhua",15000.0,Sheller/ Others,1500.0,16.0,6.9375,2.839454172900137
3348,Sri Muktsar Sahib,Gidarbaha,"Jai gurudev rice mills, lalabhai",15000.0,Sheller/ Others,1500.0,5.0,7.0,2.7386127875258306
3349,Sri Muktsar Sahib,Gidarbaha,"Jai durga agro foods, kotli ablu",22500.0,Sheller/ Others,2250.0,5.0,5.0,0.0
3350,Sri Muktsar Sahib,Gidarbaha,"Durga agro industries, butar bakhua",22500.0,Sheller/ Others,2250.0,17.0,6.352941176470588,2.5966607515852993
3351,Sri Muktsar Sahib,Gidarbaha,"Nand rice mill, kaljharni",5000.0,Sheller/ Others,500.0,10.0,3.5,1.5811388300841898
3352,Sri Muktsar Sahib,Gidarbaha,"Nanak foods, bharoo",26250.0,Sheller/ Others,2625.0,2.0,15.0,0.0
3353,Sri Muktsar Sahib,Gidarbaha,"New guru rice mills, husnar",22500.0,Sheller/ Others,2250.0,17.0,6.470588235294118,2.426871624613247
3354,Sri Muktsar Sahib,Gidarbaha,Pind bhangchari,0.0,Sheller/ Others,0.0,,,
3355,Sri Muktsar Sahib,Gidarbaha,"Parkash rice mills, butar bakhua",26250.0,Sheller/ Others,2625.0,21.0,8.238095238095237,4.09761835588384
3356,Sri Muktsar Sahib,Gidarbaha,"Friends rice mill gram udyog samti, bharoo",30000.0,Sheller/ Others,3000.0,21.0,7.809523809523809,4.130605858939432
3357,Sri Muktsar Sahib,Gidarbaha,"Bajrang rice mills, butar bakhua",22500.0,Sheller/ Others,2250.0,16.0,6.4375,2.5552234083669996
3358,Sri Muktsar Sahib,Gidarbaha,"Bansal rice mills, butar bakhua",18750.0,Sheller/ Others,1875.0,19.0,7.631578947368421,2.6291216597476783
3359,Sri Muktsar Sahib,Gidarbaha,"Baba farid rice mills, mallan",15000.0,Sheller/ Others,1500.0,10.0,7.4,2.270584848790187
3360,Sri Muktsar Sahib,Gidarbaha,"Bhagat singh rice mills, husanur",30000.0,Sheller/ Others,3000.0,17.0,9.529411764705882,3.793376580614287
3361,Sri Muktsar Sahib,Gidarbaha,"Maa vashno devi rice industries, sahib chand",22500.0,Sheller/ Others,2250.0,20.0,7.5,2.946898458772509
3362,Sri Muktsar Sahib,Gidarbaha,"Mittal rice mills, husnar",22500.0,Sheller/ Others,2250.0,18.0,5.833333333333333,2.8336216692963587
3363,Sri Muktsar Sahib,Gidarbaha,"Rishav industries, shergarh",15000.0,Sheller/ Others,1500.0,,,
3364,Sri Muktsar Sahib,Gidarbaha,"Lakshmi narayan rice mills, buttar bakhua",15000.0,Sheller/ Others,1500.0,16.0,6.9375,2.931865162884087
3365,Sri Muktsar Sahib,Gidarbaha,"Vadhwa rice mills, kotbhai",22500.0,Sheller/ Others,2250.0,3.0,5.0,0.0
3366,Sri Muktsar Sahib,Gidarbaha,"Vijay rice mills, butter bakhuya",26250.0,Sheller/ Others,2625.0,20.0,8.5,4.045790534942656
3367,Sri Muktsar Sahib,Gidarbaha,"Vidhata rice mills, husnar",30000.0,Sheller/ Others,3000.0,19.0,9.368421052631579,4.5241392835886405
3368,Sri Muktsar Sahib,Gidarbaha,"Vashno rice mill, mallan",15000.0,Sheller/ Others,1500.0,16.0,7.1875,2.638654960391752
3369,Sri Muktsar Sahib,Gidarbaha,"Shri jagan nath rice mills, lalbai",22500.0,Sheller/ Others,2250.0,21.0,7.809523809523809,2.65742446024431
3370,Sri Muktsar Sahib,Gidarbaha,"Shri bala ji rice mill,buttar bakhua",15000.0,Sheller/ Others,1500.0,18.0,7.111111111111111,2.7200538249191903
3371,Sri Muktsar Sahib,Gidarbaha,"Shri sohan rice and genral mills, husnar",22500.0,Sheller/ Others,2250.0,3.0,5.0,0.0
